loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies
28000,36 months,6.49,858.05,A,A2,Senior Manager,10+ years,MORTGAGE,92000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,21.6,May-1984,16,0,51507,64.5,24,w,Individual,2,0
9600,36 months,7.49,298.58,A,A4,tech,8 years,MORTGAGE,60000,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,22.44,Jun-1996,7,0,7722,59.4,9,w,Individual,0,0
25000,36 months,7.49,777.55,A,A4,Sales Manager,10+ years,MORTGAGE,109000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,26.02,Dec-2001,9,0,20862,54.3,19,w,Individual,3,0
18000,60 months,11.99,400.31,C,C1,GS-11,10+ years,MORTGAGE,112000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,8.68,Nov-1993,17,0,10711,15.5,27,w,Individual,4,0
23000,60 months,8.49,471.77,B,B1,Teacher,5 years,RENT,64000,Not Verified,Dec-2015,Current,credit_card,Credit card refinancing,18.28,Sep-2001,21,0,24940,52.7,33,w,Individual,0,0
8650,36 months,19.89,320.99,E,E3,Program Coordinator,8 years,RENT,55000,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,25.49,Mar-2005,18,1,9568,46,19,w,Individual,0,1
29900,60 months,12.88,678.49,C,C2,Corporate Insurance,10+ years,MORTGAGE,65000,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,21.77,May-2004,15,0,31682,46.7,31,w,Individual,2,0
16000,60 months,14.85,379.39,C,C5,Bookkeeper/Accounting,10+ years,MORTGAGE,48000,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,33.18,Jun-1991,11,2,19108,29.6,19,w,Individual,2,0
28000,36 months,13.44,949.38,C,C3,Director of Product Development,2 years,OWN,125000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,7.49,May-2000,6,0,22780,63.1,22,w,Individual,0,0
5000,36 months,13.44,169.54,C,C3,General Manager,2 years,RENT,79000,Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,12.7,Oct-2011,3,0,9441,101.5,5,w,Individual,0,0
6000,36 months,7.49,186.61,A,A4,Analyst,10+ years,MORTGAGE,100000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,13.28,May-1994,9,0,8563,72,16,w,Individual,2,0
4225,36 months,14.85,146.16,C,C5,mechanic,5 years,RENT,35000,Source Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,15.22,Jul-2011,6,0,1058,24.6,6,w,Individual,0,0
20000,36 months,5.32,602.3,A,A1,driver,9 years,OWN,65000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,18.83,May-1991,12,0,2269,3,17,w,Individual,0,0
16000,60 months,17.97,406.04,D,D4,Professional Sales Associate,< 1 year,MORTGAGE,109000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,23.35,Apr-2002,11,0,42469,87.6,33,w,Individual,1,0
17600,36 months,5.32,530.03,A,A1,Network Security Specialist III,< 1 year,MORTGAGE,88000,Source Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,26.59,May-2001,20,0,12203,34.4,42,w,Individual,5,0
15000,36 months,5.32,451.73,A,A1,DEPUTY SHERIFF,10+ years,MORTGAGE,44000,Source Verified,Dec-2015,Fully Paid,home_improvement,Home improvement,15.34,Jun-2002,7,0,17003,50.3,21,w,Individual,2,0
16000,36 months,12.88,538.18,C,C2,"Owner, Fee Appraiser",10+ years,MORTGAGE,65000,Not Verified,Dec-2015,Charged Off,small_business,Business,18.96,Dec-1985,7,1,5157,54.3,20,w,Individual,0,0
24250,60 months,24.24,701.01,F,F3,hvac technician,4 years,MORTGAGE,75000,Not Verified,Dec-2015,Charged Off,debt_consolidation,,20.84,Apr-2007,18,0,24799,65.3,21,w,Individual,2,0
12000,36 months,10.78,391.62,B,B4,Public Affairs Specialist,1 year,RENT,98000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,24.04,Feb-2002,15,1,20462,62.8,39,w,Individual,8,0
25000,60 months,13.99,581.58,C,C4,Executive Assistant,9 years,MORTGAGE,79000,Not Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,34.53,Jun-2001,33,0,22519,18.6,72,w,Individual,6,0
16800,60 months,12.88,381.23,C,C2,CEO,10+ years,MORTGAGE,118000,Not Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,34.29,Jun-1997,11,1,7849,24.1,46,w,Individual,4,0
7000,36 months,7.49,217.72,A,A4,Carrier,10+ years,MORTGAGE,59000,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,13.06,Oct-1996,10,0,10467,24.2,34,w,Individual,3,0
21000,60 months,13.99,488.53,C,C4,Resident physician,< 1 year,RENT,52000,Source Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,14.47,Jan-2005,5,0,20374,87.4,15,w,Individual,0,0
27500,60 months,14.85,652.06,C,C5,Manager,10+ years,MORTGAGE,195000,Not Verified,Dec-2015,Fully Paid,other,Other,6.79,Jul-2001,14,0,34974,50.9,19,w,Individual,1,0
7200,36 months,11.48,237.36,B,B5,Legal Administrative Assistant,10+ years,MORTGAGE,72500,Verified,Dec-2015,Fully Paid,home_improvement,Home improvement,8.47,Aug-2004,5,0,5449,35.2,7,w,Individual,2,0
20000,36 months,14.85,691.84,C,C5,GM,6 years,RENT,110000,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,12.45,Jun-2007,8,0,21374,84.5,12,w,Individual,0,0
20000,36 months,15.77,700.88,D,D1,Clinical Intake,5 years,RENT,70000,Not Verified,Dec-2015,Fully Paid,house,Home buying,22.21,Jul-2004,24,0,19077,36.6,63,w,Individual,1,0
10000,60 months,17.97,253.78,D,D4,Educator,2 years,MORTGAGE,55000,Not Verified,Dec-2015,Charged Off,credit_card,Credit card refinancing,35.7,Apr-2001,14,0,38623,78,28,w,Individual,6,0
16000,60 months,13.99,372.21,C,C4,Registered Nurse,9 years,MORTGAGE,142000,Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,17.74,Oct-2004,15,2,2273,39.9,19,w,Individual,1,0
20000,36 months,9.8,643.47,B,B3,Manager,5 years,RENT,75000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,23.45,May-1992,14,0,7558,9.6,26,w,Individual,1,0
8650,36 months,5.32,260.5,A,A1,Associate Consultant,< 1 year,MORTGAGE,100000,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,7.28,Jul-2001,15,0,7158,26.7,24,w,Individual,1,0
21000,60 months,13.44,482.56,C,C3,Teacher,2 years,RENT,54649,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,12.14,Oct-1999,9,1,1581,26.8,44,w,Individual,2,1
7200,36 months,15.77,252.32,D,D1,Bank Officer Senior Customer Care Spec.,< 1 year,RENT,55000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,,17.35,Jun-2005,24,1,5938,69,43,w,Individual,0,0
8800,36 months,9.8,283.13,B,B3,Sales Representative/ Agent,10+ years,MORTGAGE,92000,Source Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,5.18,Nov-2001,9,0,9195,76.6,24,w,Individual,2,0
14650,60 months,20.5,392.23,E,E4,Senior Service Specialist,2 years,RENT,43160,Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,21.44,Oct-2005,12,0,11378,101.6,24,w,Individual,0,0
2500,36 months,17.27,89.47,D,D3,Teacher,10+ years,MORTGAGE,50000,Verified,Dec-2015,Fully Paid,other,Other,17.6,Jan-2001,7,0,732,31.1,22,w,Individual,0,0
11000,36 months,9.17,350.67,B,B2,PRINTER,10+ years,MORTGAGE,69000,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,21.34,Sep-2004,9,0,8137,84.8,18,w,Individual,2,0
23850,60 months,17.27,596.21,D,D3,Teacher,10+ years,OWN,68046,Not Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,24.71,Sep-1993,12,0,28220,91.3,33,f,Individual,4,0
15700,60 months,16.59,386.74,D,D2,Teacher,6 years,MORTGAGE,48000,Not Verified,Dec-2015,Current,credit_card,Credit card refinancing,29.13,Nov-2005,19,0,15458,64.9,28,w,Individual,1,0
28800,60 months,11.99,640.5,C,C1,Office Manager,10+ years,OWN,60000,Not Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,18.01,Feb-1989,21,0,18421,10.5,37,w,Individual,2,0
10000,36 months,12.88,336.37,C,C2,Contract Specialist,4 years,MORTGAGE,91392,Not Verified,Dec-2015,Fully Paid,house,Home buying,9.44,Sep-2006,13,0,6959,41.7,33,f,Individual,3,0
24000,60 months,9.8,507.58,B,B3,,,OWN,77900,Not Verified,Dec-2015,Current,home_improvement,Home improvement,10.24,Oct-1982,9,0,3454,10.3,21,w,Individual,2,0
28000,60 months,18.49,718.51,D,D5,Engineer,10+ years,MORTGAGE,75000,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,31.88,Oct-2002,27,0,43413,51.9,46,w,Individual,2,0
35000,60 months,11.99,778.38,C,C1,Foreign Service Officer,10+ years,MORTGAGE,128000,Source Verified,Dec-2015,Fully Paid,home_improvement,Home improvement,6.46,Feb-1990,17,0,14277,27.4,46,w,Individual,5,0
7200,36 months,9.17,229.53,B,B2,Site lead,10+ years,MORTGAGE,50000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,19.25,Aug-1987,13,0,9051,47.6,25,w,Individual,3,0
10000,36 months,7.91,312.95,A,A5,Teacher,2 years,RENT,40100,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,10.81,Oct-1998,4,0,6664,45,7,w,Individual,0,0
16000,60 months,13.44,367.67,C,C3,Merchandise Manager,1 year,RENT,42000,Not Verified,Dec-2015,Charged Off,credit_card,Credit card refinancing,9.6,Apr-2002,29,0,11834,44.8,48,w,Individual,0,0
21875,36 months,11.99,726.46,C,C1,Wire Technician,< 1 year,RENT,47590,Source Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,17.76,Apr-2001,9,0,24882,57.1,14,w,Individual,0,0
14025,60 months,18.49,359.9,D,D5,accts payable,10+ years,MORTGAGE,39000,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,18,Aug-2001,12,0,15646,74.9,21,w,Individual,3,0
35000,60 months,12.88,794.21,C,C2,Lieutenant,7 years,MORTGAGE,106000,Source Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,17.36,Apr-2002,8,0,39055,72.1,27,w,Individual,4,0
20000,36 months,12.88,672.73,C,C2,President,10+ years,MORTGAGE,145000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,12.28,Feb-2004,12,0,22551,80.2,21,w,Individual,5,0
14000,60 months,14.85,331.96,C,C5,Accountant,2 years,MORTGAGE,60000,Not Verified,Dec-2015,Charged Off,debt_consolidation,,24.29,Aug-2009,11,0,12718,73.9,24,w,Individual,0,0
16000,60 months,8.49,328.19,B,B1,Supervisor,5 years,MORTGAGE,62000,Source Verified,Dec-2015,In Grace Period,credit_card,Credit card refinancing,28.92,Mar-2002,10,0,15763,51.2,24,w,Individual,3,0
28000,60 months,14.85,663.92,C,C5,Division General Manager,2 years,MORTGAGE,85000,Not Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,28.52,Nov-1999,19,0,36814,71.8,29,w,Individual,2,0
20000,60 months,13.99,465.27,C,C4,Facilities Coordinator,10+ years,OWN,70000,Source Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,16.9,Jun-2001,20,0,31200,42,35,w,Individual,0,0
17600,60 months,19.89,465.22,E,E3,RN,< 1 year,RENT,44000,Verified,Dec-2015,Current,credit_card,,17.56,Jun-2006,7,0,12900,102.4,25,w,Individual,0,0
4200,36 months,13.44,142.41,C,C3,Manager,10+ years,MORTGAGE,102500,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,26.21,Jan-1999,14,0,11947,88.5,37,w,Individual,7,0
19000,60 months,14.85,450.52,C,C5,Application Analyst,9 years,OWN,75000,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,13.09,Jun-2000,15,0,17771,63.7,34,w,Individual,3,0
15850,60 months,23.13,448.01,F,F2,Lead manufacturing,10+ years,OWN,45000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,34.85,Jan-2007,18,0,8799,21.3,24,f,Individual,0,0
10000,60 months,11.99,222.4,C,C1,CARDIOVASCULAR TECH,10+ years,RENT,42500,Not Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,31.04,Dec-1998,10,0,5812,40.9,23,w,Individual,0,0
30000,36 months,15.77,1051.31,D,D1,Vice-President,2 years,MORTGAGE,175000,Not Verified,Dec-2015,Fully Paid,home_improvement,Home improvement,18.5,Aug-1997,9,0,21831,50.3,23,w,Individual,3,0
1500,36 months,6.49,45.97,A,A2,,,MORTGAGE,45000,Not Verified,Dec-2015,Fully Paid,vacation,Vacation,16.11,Dec-1987,12,0,3717,21.2,37,w,Individual,4,0
25000,36 months,5.32,752.87,A,A1,Director,1 year,MORTGAGE,150000,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,9.54,Feb-1996,7,0,19339,42.5,18,w,Individual,7,0
16250,60 months,13.44,373.41,C,C3,Radiology Tech.,2 years,MORTGAGE,50000,Not Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,34.95,Apr-1990,15,0,27336,94.9,21,w,Individual,2,0
20200,60 months,18.49,518.35,D,D5,Manager,4 years,RENT,60000,Source Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,34.84,Jun-2004,10,1,8284,40.6,16,w,Individual,0,1
23975,60 months,19.89,633.73,E,E3,Principal,10+ years,RENT,70000,Not Verified,Dec-2015,Charged Off,credit_card,Credit card refinancing,33.2,Jun-1995,10,0,44807,94.9,19,w,Individual,3,0
15000,60 months,10.78,324.5,B,B4,Senior Buyer,10+ years,MORTGAGE,65000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,29.28,Aug-2001,18,0,24723,69.8,32,w,Individual,1,0
10000,36 months,10.78,326.35,B,B4,Lpn,3 years,MORTGAGE,41600,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,15.78,Oct-2004,18,0,12958,52.5,33,w,Individual,2,0
15000,36 months,8.49,473.45,B,B1,Senior Associate,6 years,MORTGAGE,110000,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,13.24,Dec-2002,16,1,19029,41.4,33,w,Individual,4,1
23100,60 months,20.5,618.46,E,E4,Regional Sales Direcdtor,2 years,OWN,110000,Not Verified,Dec-2015,Charged Off,car,Car financing,20.43,Aug-1986,11,0,20594,94.9,24,w,Individual,2,0
27300,36 months,17.27,977,D,D3,groundsman,10+ years,MORTGAGE,65000,Not Verified,Dec-2015,Charged Off,home_improvement,Home improvement,25.63,Nov-2002,14,0,31035,83,38,w,Individual,2,0
25000,60 months,11.48,549.57,B,B5,Project Manager,10+ years,MORTGAGE,135000,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,4.65,Oct-2004,16,0,7340,13.5,33,w,Individual,5,0
15000,36 months,10.78,489.52,B,B4,Coaching General Manager,1 year,RENT,40000,Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,10.17,Oct-2006,7,0,12272,75.3,9,w,Individual,0,0
10000,60 months,16.59,246.33,D,D2,Emergency Department technician,< 1 year,RENT,30000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,30.84,Sep-2000,19,1,6118,26.6,36,w,Individual,0,1
18500,60 months,12.88,419.8,C,C2,Supply Chain Coord.,10+ years,MORTGAGE,70000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,13.2,Jun-2002,9,0,15883,57.8,19,w,Individual,2,0
5000,36 months,7.91,156.48,A,A5,Property Manager,6 years,RENT,32000,Source Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,13.73,Feb-2012,7,1,5552,41.1,10,w,Individual,0,1
9000,36 months,9.17,286.92,B,B2,Truck Driver,1 year,OWN,50000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,11.98,Jun-2001,5,0,7518,48.5,11,w,Individual,2,0
11000,36 months,6.49,337.09,A,A2,material handler lead,10+ years,MORTGAGE,85000,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,15,Apr-2005,12,0,9488,20.1,31,w,Individual,0,0
20000,36 months,6.49,612.89,A,A2,"TEAM LEAD, QUALITY ENGINEER",6 years,MORTGAGE,55000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,29.15,Sep-1994,9,0,4851,23.8,23,w,Individual,1,0
15000,36 months,5.32,451.73,A,A1,,,RENT,80000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,20.18,Apr-1993,30,0,41593,21.4,47,w,Individual,2,0
12000,36 months,5.32,361.38,A,A1,Network Operation Engineer,4 years,MORTGAGE,53750,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,15.3,Sep-2007,8,0,3172,17.2,19,w,Individual,2,0
8000,36 months,10.78,261.08,B,B4,Counselor,< 1 year,MORTGAGE,45000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,21.23,Jan-1998,28,0,11141,35.5,69,w,Individual,2,0
12000,36 months,10.78,391.62,B,B4,Salesman,3 years,RENT,40000,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,31.95,May-2008,16,0,11008,41.4,22,w,Individual,0,0
18000,36 months,7.49,559.83,A,A4,Systems Support Engineer,5 years,MORTGAGE,75000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,25.65,Mar-2001,12,0,7758,33.2,47,w,Individual,1,0
3600,36 months,11.48,118.68,B,B5,Systems Administrator,< 1 year,MORTGAGE,85000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,17.44,Apr-1994,12,1,6952,28.7,23,w,Individual,1,1
7200,36 months,17.27,257.67,D,D3,Department Manager,9 years,OWN,20000,Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,13.21,Apr-2003,8,0,7302,32.6,17,w,Individual,0,0
15000,60 months,13.44,344.69,C,C3,Counselor,4 years,RENT,77213,Source Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,18.17,Dec-2001,17,1,59237,25.8,44,w,Individual,1,1
5000,36 months,9.8,160.87,B,B3,Accounts Payable Manager,6 years,OWN,72000,Not Verified,Dec-2015,Fully Paid,other,Other,6.52,Jan-2002,11,1,4838,56.3,20,f,Individual,2,1
11550,60 months,16.59,284.51,D,D2,general manager,5 years,RENT,38000,Not Verified,Dec-2015,Charged Off,credit_card,Credit card refinancing,21.07,Jan-2011,9,0,7179,39.7,12,w,Individual,0,0
33600,36 months,10.78,1096.53,B,B4,Aviation Safety Inspector,8 years,RENT,104000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,14.01,Nov-2000,14,0,28475,51.8,31,w,Individual,1,0
17925,60 months,17.27,448.09,D,D3,IT Help Desk Support,10+ years,OWN,39000,Source Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,27.78,Sep-2002,10,0,19614,76,21,w,Individual,4,0
17475,36 months,13.99,597.17,C,C4,Software Testing Analyst,2 years,RENT,39750,Not Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,23.58,May-2002,7,0,10987,52.3,13,w,Individual,0,0
9000,36 months,8.49,284.07,B,B1,Office Manager,8 years,MORTGAGE,47000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,8.43,Nov-2000,12,0,9747,26.7,22,w,Individual,0,0
12000,60 months,9.8,253.79,B,B3,Teacher,10+ years,MORTGAGE,65000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,23.84,Nov-2003,18,0,9786,13.4,37,w,Individual,2,0
4000,36 months,9.17,127.52,B,B2,Store Manager,2 years,RENT,44500,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,15.83,Sep-2003,4,1,502,4.2,24,w,Individual,3,1
10500,36 months,15.77,367.96,D,D1,Software Engineer,3 years,RENT,70100,Source Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,8.51,Aug-2008,5,0,8280,77.4,10,w,Individual,0,0
14000,36 months,9.8,450.43,B,B3,Master mechanic,4 years,MORTGAGE,100000,Not Verified,Dec-2015,Fully Paid,medical,Medical expenses,15.97,Dec-1997,7,0,34250,36.1,14,f,Individual,2,0
6000,36 months,7.91,187.77,A,A5,Road driver,10+ years,MORTGAGE,105000,Not Verified,Dec-2015,Fully Paid,car,Car financing,14.45,May-2006,9,3,8353,65.3,11,w,Individual,1,0
16000,60 months,12.88,363.07,C,C2,Unix System Administrator,10+ years,OWN,90000,Not Verified,Dec-2015,Current,home_improvement,Home improvement,6.39,Jan-1996,8,0,11594,43.9,17,w,Individual,5,0
15000,36 months,9.8,482.61,B,B3,Electronic Branch Manager,3 years,MORTGAGE,92000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,13.89,Nov-2001,7,2,12703,35.2,31,w,Individual,6,1
12000,36 months,9.17,382.55,B,B2,Registered Veterinary Technitian,4 years,MORTGAGE,39400,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,26.32,Sep-2006,18,0,10495,34.6,25,w,Individual,2,0
10000,36 months,11.48,329.67,B,B5,Paralegal,2 years,RENT,33000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,21.75,Aug-2009,12,1,8052,35.6,20,w,Individual,0,0
4200,36 months,13.99,143.53,C,C4,Patrol Officer,2 years,RENT,32000,Source Verified,Dec-2015,Fully Paid,other,Other,31.02,Nov-2009,10,0,1294,11.7,16,w,Individual,0,0
35000,60 months,20.5,937.06,E,E4,"Director, Human Resources",8 years,MORTGAGE,120000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,35.69,Oct-1994,25,0,13993,32.2,54,w,Individual,3,0
5475,36 months,18.99,200.67,E,E1,Captain,10+ years,MORTGAGE,108000,Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,33.47,Dec-1999,11,0,3045,41,27,w,Individual,2,0
16000,60 months,7.91,323.74,A,A5,Project Supervisor,2 years,MORTGAGE,60000,Not Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,28.58,Sep-2008,19,0,10034,30.3,22,w,Individual,0,0
6000,36 months,13.44,203.44,C,C3,machine operation,3 years,OWN,38700,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,23.26,Nov-1994,4,0,1960,19.2,10,w,Individual,0,0
24000,36 months,9.17,765.1,B,B2,Accounting Manager,10+ years,MORTGAGE,75000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,10.11,May-1985,14,1,11763,39.5,25,w,Individual,3,1
10000,36 months,12.88,336.37,C,C2,Truck Driver,< 1 year,RENT,60000,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,3.3,Sep-2002,5,0,6727,64.1,42,w,Individual,2,0
6900,36 months,19.89,256.05,E,E3,Teacher,10+ years,RENT,80000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,9.57,Jun-2005,10,0,4091,35.9,16,w,Individual,0,0
22400,60 months,9.8,473.74,B,B3,CNC Machinist,10+ years,MORTGAGE,48000,Not Verified,Dec-2015,Current,credit_card,Credit card refinancing,28.48,Oct-2004,9,0,24298,55.7,18,w,Individual,2,0
15975,36 months,16.59,566.3,D,D2,Director,4 years,MORTGAGE,58800,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,20.45,Jun-1999,11,0,9196,71.8,23,w,Individual,1,0
21600,36 months,13.44,732.38,C,C3,machines,9 years,MORTGAGE,54000,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,17.64,Jun-2001,9,0,26438,60.8,30,w,Individual,6,0
